Ticker,Date,V,P
XRAY,2000-12-19,21.82,11.86
XRAY,2000-12-20,12.90,11.27
XRAY,2000-12-21,12.58,11.20
XRAY,2000-12-22,5.50,11.64
XRAY,2000-12-26,3.68,11.64
XRAY,2000-12-27,16.83,12.34
XRAY,2000-12-28,22.01,12.99
XRAY,2000-12-29,28.13,11.92
XRAY,2001-01-02,11.30,11.89
XRAY,2001-01-03,16.94,11.28
XRAY,2001-01-04,8.24,10.55
XRAY,2001-01-05,9.15,10.67
XRAY,2001-01-08,11.46,10.99
XRAY,2001-01-09,4.82,10.67
XRAY,2001-01-10,10.24,10.53
XRAY,2001-01-11,9.49,10.30
XRAY,2001-01-12,42.70,10.32
XRAY,2001-01-16,5.50,10.39
XRAY,2001-01-17,9.62,10.51
XRAY,2001-01-18,9.96,10.71
XRAY,2001-01-19,18.76,10.82
XRAY,2001-01-22,8.71,11.09
XRAY,2001-01-23,13.55,10.89
XRAY,2001-01-24,18.69,10.75
XRAY,2001-01-25,6.07,10.76
XRAY,2001-01-26,8.32,11.12
XRAY,2001-01-29,12.04,10.97
XRAY,2001-01-30,10.12,10.99
XRAY,2001-01-31,8.00,10.53
XRAY,2001-02-01,14.74,10.86
XRAY,2001-02-02,4.55,10.85
XRAY,2001-02-05,8.45,10.99
XRAY,2001-02-06,5.59,10.89
XRAY,2001-02-07,14.48,11.07
XRAY,2001-02-08,2.87,11.09
XRAY,2001-02-09,7.58,11.14
XRAY,2001-02-12,5.94,11.43
XRAY,2001-02-13,4.29,11.50
XRAY,2001-02-14,8.94,11.62
XRAY,2001-02-15,6.19,11.77
XRAY,2001-02-16,4.96,11.58
XRAY,2001-02-20,5.03,11.66
XRAY,2001-02-21,5.86,11.62
XRAY,2001-02-22,8.08,11.37
XRAY,2001-02-23,8.02,11.43
XRAY,2001-02-26,8.83,11.52
XRAY,2001-02-27,5.06,11.33
XRAY,2001-02-28,7.15,11.47
XRAY,2001-03-01,5.01,11.45
XRAY,2001-03-02,10.30,11.62
XRAY,2001-03-05,3.07,11.67
XRAY,2001-03-06,5.85,11.90
XRAY,2001-03-07,5.36,11.58
XRAY,2001-03-08,8.04,11.58
XRAY,2001-03-09,5.66,11.39
XRAY,2001-03-12,6.18,11.41
XRAY,2001-03-13,8.43,11.43
XRAY,2001-03-14,13.00,11.26
