Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,62.515621,63.218750,62.421879,63.203121,48.235901,319600
1998-01-21,62.421879,62.828121,61.875000,62.468750,47.675430,56800
1998-01-22,62.093750,62.218750,61.671879,62.062500,47.365372,113800
1998-01-23,62.093750,62.468750,61.343750,61.562500,46.983799,82500
1998-01-26,62.031250,62.031250,61.203121,61.265621,46.757221,149300
1998-01-27,61.109379,61.921879,61.109379,61.765621,47.138805,235400
1998-01-28,62.156250,62.984379,62.156250,62.890621,47.997368,131900
1998-01-29,62.781250,63.687500,62.781250,62.843750,47.961632,257400
1998-01-30,63.265621,63.390621,62.953121,63.156250,48.200127,155200
1998-02-02,64.328117,64.593750,64.000000,64.234383,49.022938,310600
1998-02-03,64.375000,64.875000,64.281250,64.812500,49.464153,144600
1998-02-04,64.515617,65.203117,64.343750,65.140617,49.714561,190800
1998-02-05,65.718750,65.765617,64.859383,64.953117,49.571476,80500
1998-02-06,65.296883,65.828117,65.218750,65.750000,50.179634,59600
1998-02-09,65.953117,66.000000,65.140617,65.359383,49.881516,53900
1998-02-10,65.656250,66.343750,65.562500,66.046883,50.406204,161000
1998-02-11,66.046883,66.515617,66.031250,66.406250,50.680485,119100
1998-02-12,65.937500,66.453117,65.625000,66.437500,50.704346,97200
1998-02-13,66.312500,66.609383,66.156250,66.281250,50.585094,118000
1998-02-17,66.718750,66.890617,66.093750,66.343750,50.632782,241900
1998-02-18,66.312500,67.062500,66.312500,67.062500,51.181320,68200
1998-02-19,67.109383,67.218750,66.750000,66.875000,51.038235,114000
1998-02-20,67.218750,67.296883,66.484383,67.250000,51.324432,175300
1998-02-23,67.562500,67.640617,67.046883,67.437500,51.467525,180800
1998-02-24,66.937500,67.156250,66.531250,66.531250,50.775871,273800
1998-02-25,66.984383,67.875000,66.984383,67.875000,51.801407,137000
1998-02-26,67.671883,68.468750,67.515617,68.093750,51.968365,57700
1998-02-27,68.265617,68.515617,67.953117,68.093750,51.968365,274200
1998-03-02,68.312500,68.625000,68.000000,68.000000,51.896832,196900
1998-03-03,68.187500,68.500000,67.968750,68.500000,52.278408,181200
1998-03-04,68.375000,68.703117,67.953117,67.968750,51.872967,198400
1998-03-05,67.140617,68.062500,67.046883,67.812500,51.753712,121300
1998-03-06,68.000000,69.015617,67.937500,68.781250,52.493038,158300
1998-03-09,68.625000,68.984383,68.234383,68.437500,52.230713,227200
1998-03-10,68.765617,69.312500,68.609383,69.109383,52.743469,145100
1998-03-11,69.359383,70.000000,69.359383,69.625000,53.136990,257400
1998-03-12,69.750000,70.093750,69.171883,70.046883,53.458977,221500
1998-03-13,70.500000,70.531250,69.656250,70.000000,53.423195,205200
1998-03-16,70.421883,70.531250,70.093750,70.468750,53.780945,102500
1998-03-17,70.515617,70.515617,69.859383,70.359383,53.697468,208700
1998-03-18,70.125000,70.984383,70.000000,70.984383,54.174473,195100
1998-03-19,70.687500,70.968750,70.531250,70.906250,54.114845,422600
1998-03-20,70.921883,70.921883,70.234383,70.890617,54.217594,74200
1998-03-23,70.421883,71.000000,70.421883,70.687500,54.062252,170100
1998-03-24,70.890617,71.359383,70.718750,71.125000,54.396877,114900
1998-03-25,71.812500,71.812500,70.281250,70.796883,54.145920,253500
1998-03-26,70.859383,71.296883,70.500000,71.000000,54.301247,132800
1998-03-27,71.406250,71.593750,70.625000,70.640617,54.026375,62900
1998-03-30,70.578117,71.156250,70.421883,70.531250,53.942760,48800
1998-03-31,70.984383,71.750000,70.843750,71.296883,54.528313,348900
1998-04-01,71.421883,72.203117,71.000000,71.812500,54.922665,239500
1998-04-02,71.968750,72.562500,71.828117,72.453117,55.412609,107900
1998-04-03,72.609383,72.609383,72.125000,72.296883,55.293114,194300
1998-04-06,72.718750,72.859383,71.593750,71.828117,54.934612,64600
1998-04-07,71.625000,71.625000,70.078117,70.921883,54.241516,160200
