Ticker,Date,V,P,AV,R,DRSD,YR,Y,pr_0,pr_1,pr_2,Y_pred,Y_mom,Y_rev,Y_rand3,Y_rand2
HD,2015-09-01,835.7500,108.2900,796.1220,-0.0329,0.0188,0.0213,1,0.2321,0.1543,0.6136,2,2,0,2,0
HES,2015-09-01,222.7500,54.5800,194.8830,-0.0084,0.0360,-0.1189,0,0.2123,0.2628,0.5249,2,2,0,0,0
HIG,2015-09-01,205.0900,43.1000,198.6625,-0.0590,0.0198,0.0230,1,0.0389,0.0889,0.8721,2,2,0,1,0
HOG,2015-09-01,117.5100,51.3200,134.1495,-0.0570,0.0200,0.0103,1,0.1614,0.2287,0.6099,2,2,0,1,0
HOLX,2015-09-01,174.4300,37.2200,150.0805,-0.1007,0.0227,0.0513,2,0.2577,0.2185,0.5238,2,0,2,0,2
HON,2015-09-01,410.2000,91.9200,374.0060,-0.0783,0.0197,-0.0132,1,0.4565,0.3439,0.1996,0,1,1,0,2
HP,2015-09-01,157.8300,50.6700,168.9350,-0.0334,0.0389,-0.1547,0,0.1284,0.2605,0.6111,2,2,0,1,0
HPQ,2015-09-01,499.6500,11.7100,441.0190,-0.0654,0.0229,-0.0734,0,0.0677,0.8489,0.0834,1,1,1,0,0
HRB,2015-09-01,136.8200,30.6200,115.4500,0.0016,0.0282,0.1048,2,0.0803,0.5876,0.3321,1,2,0,2,2
HRL,2015-09-01,57.7000,28.6700,60.4850,-0.0107,0.0184,0.0614,2,0.0737,0.1961,0.7302,2,2,0,1,2
HRS,2015-09-01,112.3100,70.9800,82.4815,-0.0929,0.0191,-0.0135,1,0.1233,0.3645,0.5122,2,1,1,1,0
HSIC,2015-09-01,65.1100,66.2800,63.6055,-0.0938,0.0176,0.0012,1,0.2705,0.2311,0.4984,2,1,1,2,2
HST,2015-09-01,127.3500,15.5400,144.6680,-0.0970,0.0211,-0.0759,0,0.0727,0.3310,0.5963,2,1,1,2,2
HSY,2015-09-01,129.4600,82.4500,129.5085,-0.0554,0.0185,0.0551,2,0.0423,0.7934,0.1643,1,2,0,2,2
HUM,2015-09-01,184.0300,176.6200,191.6220,-0.0169,0.0160,0.0003,1,0.0584,0.2406,0.7010,2,2,0,2,0
IBM,2015-09-01,752.1700,131.0900,668.5785,-0.0872,0.0170,0.0161,1,0.3838,0.4023,0.2139,1,1,1,0,2
IDXX,2015-09-01,71.6300,70.5400,52.4870,-0.0396,0.0188,0.0532,2,0.0910,0.4762,0.4328,1,2,0,1,2
IFF,2015-09-01,58.0300,101.7100,61.0905,-0.0843,0.0171,-0.0227,0,0.0469,0.3361,0.6170,2,1,1,0,2
ILMN,2015-09-01,263.6900,193.1300,296.3060,-0.0988,0.0181,-0.0887,0,0.2699,0.3281,0.4020,2,0,2,0,2
INCY,2015-09-01,197.7200,115.1200,159.5950,0.0490,0.0415,-0.0412,0,0.8141,0.1027,0.0833,0,2,0,2,0
INTC,2015-09-01,1228.0800,25.8500,972.2365,-0.0372,0.0223,0.0828,2,0.4315,0.2916,0.2768,0,2,0,1,2
INTU,2015-09-01,319.8700,81.9300,246.7370,-0.2035,0.0377,0.0541,2,0.1747,0.4737,0.3516,1,0,2,1,0
IP,2015-09-01,144.4100,38.4800,136.2645,-0.1132,0.0223,-0.0936,0,0.2074,0.2747,0.5179,2,0,2,1,2
IPG,2015-09-01,75.1700,17.3000,74.9480,-0.1289,0.0187,0.0468,2,0.7153,0.2068,0.0779,0,0,2,0,0
IR,2015-09-01,324.1200,51.1900,169.3595,-0.0977,0.0173,-0.0475,0,0.3883,0.3000,0.3117,0,1,1,0,2
IRM,2015-09-01,57.9100,24.0700,49.5240,-0.0781,0.0231,0.1417,2,0.2420,0.4339,0.3241,1,1,1,1,2
ISRG,2015-09-01,201.3500,167.8100,132.1875,-0.0443,0.0139,-0.0877,0,0.3329,0.4408,0.2263,1,2,0,2,0
IT,2015-09-01,30.3300,83.3700,26.8790,-0.0656,0.0179,0.0067,1,0.0352,0.4492,0.5155,2,1,1,0,2
ITW,2015-09-01,189.9500,77.9300,141.8250,-0.0736,0.0192,0.0127,1,0.2972,0.4333,0.2695,1,1,1,1,2
IVZ,2015-09-01,153.8800,30.3300,130.6220,-0.1371,0.0224,-0.0511,0,0.0613,0.3390,0.5997,2,0,2,2,2
JBHT,2015-09-01,90.4300,69.8600,90.3780,-0.1539,0.0118,-0.0017,1,0.0488,0.3182,0.6330,2,0,2,0,2
JCI,2015-09-01,141.7400,32.6300,105.8275,-0.0743,0.0158,-0.0487,0,0.0301,0.6764,0.2935,1,1,1,0,2
JEC,2015-09-01,66.1000,39.0500,70.5120,-0.0694,0.0238,-0.0517,0,0.0366,0.2255,0.7379,2,1,1,0,2
JNJ,2015-09-01,1343.8000,86.6800,946.0315,-0.0700,0.0170,0.0136,1,0.0670,0.2293,0.7038,2,1,1,0,2
JNPR,2015-09-01,162.0100,24.2000,136.6880,-0.1050,0.0175,0.0306,2,0.5511,0.3766,0.0723,0,0,2,1,2
JPM,2015-09-01,1452.3300,57.9400,1214.8455,-0.1024,0.0226,-0.0078,1,0.1478,0.2669,0.5853,2,0,2,0,2
JWN,2015-09-01,102.3100,62.8900,144.1695,-0.0556,0.0193,0.0006,1,0.6076,0.1057,0.2867,0,2,0,1,2
K,2015-09-01,202.2600,62.1000,148.2230,-0.0193,0.0119,0.0129,1,0.3465,0.3922,0.2612,1,2,0,2,0
KEY,2015-09-01,142.4400,12.4200,153.2425,-0.1135,0.0273,-0.0064,1,0.1136,0.6193,0.2671,1,0,2,2,2
KIM,2015-09-01,108.6200,20.4700,95.1750,-0.0938,0.0197,0.0835,2,0.2001,0.2063,0.5936,2,1,1,2,2
KLAC,2015-09-01,70.5600,45.3900,73.9105,-0.0643,0.0224,0.0408,2,0.2535,0.3193,0.4272,2,1,1,1,0
KMB,2015-09-01,200.8100,97.2200,173.3705,-0.1031,0.0161,0.0569,2,0.2526,0.1501,0.5973,2,0,2,0,2
KMX,2015-09-01,127.8300,58.5600,93.6365,-0.0957,0.0198,0.0130,1,0.7478,0.1856,0.0666,0,1,1,2,2
KO,2015-09-01,918.5000,36.0100,666.2975,-0.0741,0.0114,0.0444,2,0.1942,0.3510,0.4548,2,1,1,0,0
KR,2015-09-01,285.2700,32.8900,293.6220,-0.1173,0.0207,0.0654,2,0.2230,0.3844,0.3926,2,0,2,0,0
KSS,2015-09-01,160.9300,45.0000,248.0235,-0.1743,0.0248,-0.0751,0,0.1260,0.0755,0.7985,2,0,2,0,2
KSU,2015-09-01,104.8100,86.7900,134.4635,-0.0840,0.0233,0.0162,1,0.1243,0.0882,0.7875,2,1,1,1,0
L,2015-09-01,88.2100,35.2600,74.5805,-0.0460,0.0142,0.0116,1,0.0594,0.2222,0.7183,2,2,0,2,2
LB,2015-09-01,245.1500,75.9400,185.2460,0.0140,0.0211,0.0748,2,0.3945,0.1899,0.4156,2,2,0,0,2
LEG,2015-09-01,41.1800,40.5800,58.2985,-0.0928,0.0155,-0.0392,0,0.4425,0.3726,0.1849,0,1,1,0,2
LEN,2015-09-01,118.5400,49.0600,148.8160,-0.0365,0.0250,-0.0263,0,0.2987,0.0772,0.6241,2,2,0,2,2
LH,2015-09-01,228.9300,115.7500,119.1715,-0.0887,0.0146,-0.0629,0,0.1261,0.6885,0.1854,1,1,1,1,2
LLL,2015-09-01,61.7000,99.1300,77.0935,-0.0968,0.0131,0.0141,1,0.4089,0.2332,0.3580,0,1,1,2,2
LLY,2015-09-01,343.1800,75.7400,383.7065,-0.0449,0.0233,0.0489,2,0.0337,0.0557,0.9106,2,2,0,2,2
LMT,2015-09-01,330.9100,187.1400,294.6430,-0.0499,0.0128,0.0490,2,0.4534,0.2410,0.3055,0,2,0,0,0
LNC,2015-09-01,119.8800,46.1900,120.9255,-0.1411,0.0277,-0.0173,1,0.1229,0.5391,0.3380,1,0,2,1,0
LNT,2015-09-01,41.2800,25.6000,51.3460,-0.0935,0.0167,0.0609,2,0.1176,0.1471,0.7353,2,1,1,2,2
LOW,2015-09-01,482.0600,65.0800,483.5640,-0.0233,0.0179,0.0172,1,0.5310,0.2885,0.1805,0,2,0,0,0
LRCX,2015-09-01,138.2900,67.1500,168.2030,-0.0483,0.0243,-0.0567,0,0.0801,0.4832,0.4367,1,2,0,1,2
LUK,2015-09-01,59.2200,20.1100,41.8150,-0.1117,0.0210,-0.0189,0,0.0795,0.4929,0.4277,1,0,2,0,0
LUV,2015-09-01,318.2400,35.7500,337.9225,-0.0398,0.0160,0.0464,2,0.0544,0.0448,0.9008,2,2,0,0,0
M,2015-09-01,227.3400,52.3400,357.0980,-0.1549,0.0184,-0.1089,0,0.2520,0.1002,0.6478,2,0,2,2,0
MAA,2015-09-01,45.9800,71.6900,57.2050,-0.0366,0.0168,0.0565,2,0.1897,0.4982,0.3121,1,2,0,2,0
MAC,2015-09-01,95.5300,64.5600,81.8060,-0.0488,0.0200,0.0331,2,0.1732,0.6558,0.1710,1,2,0,1,2
MAR,2015-09-01,219.4100,66.8900,189.9485,-0.0400,0.0190,-0.0124,1,0.1380,0.1289,0.7331,2,2,0,2,2
MAS,2015-09-01,137.9500,24.9500,136.3155,-0.0311,0.0200,-0.0180,0,0.1531,0.4861,0.3608,1,2,0,0,0
MAT,2015-09-01,133.9600,20.3100,124.6820,0.0150,0.0208,-0.0665,0,0.0507,0.5982,0.3512,1,2,0,2,0
MCD,2015-09-01,683.1000,88.2500,664.8925,-0.0488,0.0183,0.0541,2,0.0746,0.3509,0.5745,2,2,0,2,0
MCHP,2015-09-01,139.0500,37.9600,119.1070,-0.0571,0.0221,0.0767,2,0.1073,0.3521,0.5406,2,2,0,2,0
MCK,2015-09-01,473.0500,193.0400,354.9325,-0.1205,0.0202,-0.0549,0,0.2754,0.6053,0.1193,1,0,2,2,2
MCO,2015-09-01,125.1400,95.9700,94.8850,-0.1070,0.0194,-0.0080,1,0.0650,0.1146,0.8204,2,0,2,1,0
MDLZ,2015-09-01,508.3500,39.4500,653.6485,-0.1008,0.0158,0.0243,1,0.1851,0.4326,0.3823,1,0,2,0,2
MDT,2015-09-01,623.3100,66.3000,433.7015,-0.1059,0.0187,-0.0320,0,0.2405,0.2099,0.5496,2,0,2,0,2
MET,2015-09-01,438.2900,44.5600,371.2085,-0.1361,0.0244,-0.0175,1,0.0938,0.3785,0.5277,2,0,2,2,0
MGM,2015-09-01,143.2700,19.6500,187.5400,-0.0865,0.0245,-0.0712,0,0.2529,0.2862,0.4609,2,1,1,2,2
MHK,2015-09-01,122.5500,192.8600,172.8470,-0.0490,0.0190,-0.0574,0,0.4941,0.3723,0.1336,0,2,0,0,0
MKC,2015-09-01,77.0300,74.4200,63.5145,-0.0605,0.0150,0.0589,2,0.0789,0.0731,0.8480,2,1,1,0,0
MLM,2015-09-01,110.8400,160.9000,132.1260,-0.0080,0.0224,-0.0718,0,0.6860,0.1221,0.1920,0,2,0,0,2
MMC,2015-09-01,142.4200,49.7600,120.9315,-0.1002,0.0176,0.0022,1,0.1203,0.5153,0.3644,1,0,2,0,0
MNST,2015-09-01,160.7200,45.0100,229.0615,-0.1099,0.0256,0.0009,1,0.2353,0.2602,0.5045,2,0,2,0,0
MO,2015-09-01,452.7700,47.8700,393.3105,-0.0525,0.0132,0.0566,2,0.1420,0.0971,0.7609,2,2,0,1,0
MON,2015-09-01,475.3400,91.3600,394.4205,-0.0643,0.0263,-0.1092,0,0.4516,0.1339,0.4144,0,1,1,0,0
MOS,2015-09-01,142.7100,36.4800,161.1505,-0.1024,0.0234,-0.2064,0,0.1188,0.5767,0.3046,1,0,2,0,0
MRK,2015-09-01,825.1000,48.9300,706.0435,-0.1052,0.0251,-0.0515,0,0.1654,0.5505,0.2841,1,0,2,0,0
MRO,2015-09-01,300.2700,16.3400,270.2730,-0.1684,0.0435,-0.0863,0,0.6982,0.1383,0.1636,0,0,2,2,2
MS,2015-09-01,482.5000,31.5700,460.1635,-0.1491,0.0260,-0.0491,0,0.1117,0.5313,0.3570,1,0,2,1,2
MSFT,2015-09-01,2077.9900,39.5500,1697.1415,-0.1146,0.0247,0.0569,2,0.3573,0.1617,0.4811,2,0,2,1,0
MSI,2015-09-01,274.1400,60.7000,139.4005,0.0603,0.0217,0.0764,2,0.6985,0.0976,0.2038,0,2,0,1,0
MTB,2015-09-01,87.8300,107.9100,84.9550,-0.1353,0.0227,0.0826,2,0.0452,0.2595,0.6954,2,0,2,1,0
MTD,2015-09-01,71.0400,286.7900,66.9070,-0.1309,0.0208,-0.0071,1,0.0585,0.1818,0.7597,2,0,2,2,0
MU,2015-09-01,441.6000,15.8200,544.8375,-0.1678,0.0355,-0.0544,0,0.1357,0.6008,0.2636,1,0,2,0,0
MYL,2015-09-01,318.8100,48.2900,461.2420,-0.1167,0.0217,-0.1661,0,0.5953,0.2055,0.1992,0,0,2,2,2
NBL,2015-09-01,332.6600,30.1900,218.5685,-0.0854,0.0340,-0.0298,0,0.0583,0.1132,0.8285,2,1,1,2,2
NEE,2015-09-01,344.7300,89.9600,286.1845,-0.0983,0.0157,0.0231,1,0.5449,0.1426,0.3125,0,0,2,2,0
NEM,2015-09-01,114.5100,16.5400,160.9775,0.0204,0.0348,-0.0381,0,0.0421,0.8318,0.1262,1,2,0,2,0
NFX,2015-09-01,183.4900,31.8600,147.7080,-0.0242,0.0468,0.0326,2,0.2007,0.3320,0.4673,2,2,0,2,0
NI,2015-09-01,57.8600,15.4500,67.8855,-0.0203,0.0187,0.1256,2,0.0700,0.2522,0.6778,2,2,0,1,2
NKE,2015-09-01,509.7100,52.8800,466.3450,-0.0617,0.0215,0.1350,2,0.2155,0.0408,0.7437,2,1,1,0,0
NOC,2015-09-01,256.7500,154.4000,191.0630,-0.0696,0.0175,0.0413,2,0.3215,0.4940,0.1845,1,1,1,1,0
NOV,2015-09-01,278.5200,39.4400,300.3745,0.0170,0.0235,-0.0786,0,0.0457,0.7534,0.2009,1,2,0,0,2
NSC,2015-09-01,152.2700,71.5900,183.1345,-0.0832,0.0217,0.0091,1,0.1374,0.2536,0.6090,2,1,1,0,2
NTAP,2015-09-01,138.2200,29.3800,141.8110,0.0121,0.0222,-0.0436,0,0.2143,0.4674,0.3183,1,2,0,0,2
NTRS,2015-09-01,129.2900,65.0800,98.5270,-0.1192,0.0247,0.0074,1,0.2990,0.3167,0.3843,2,0,2,0,0
NUE,2015-09-01,87.7200,39.2600,103.2540,-0.0657,0.0234,-0.0976,0,0.0927,0.0896,0.8176,2,1,1,2,2
NVDA,2015-09-01,190.4900,21.2100,255.2380,0.0626,0.0395,0.1429,2,0.2479,0.4111,0.3409,1,2,0,0,2
NWL,2015-09-01,75.3000,39.3400,68.7020,-0.0680,0.0206,-0.0241,0,0.1726,0.6414,0.1860,1,1,1,2,2
O,2015-09-01,100.3400,40.1100,86.9655,-0.0834,0.0153,0.0828,2,0.6183,0.1304,0.2513,0,1,1,1,0
OKE,2015-09-01,141.0400,30.4500,121.1645,-0.0212,0.0312,-0.0785,0,0.0491,0.1475,0.8034,2,2,0,2,2
OMC,2015-09-01,111.3800,61.3600,110.1905,-0.1045,0.0157,0.0186,1,0.2213,0.5110,0.2678,1,0,2,0,0
ORCL,2015-09-01,718.3100,34.7600,566.5520,-0.0922,0.0182,0.0032,1,0.2019,0.3662,0.4319,2,1,1,1,0
ORLY,2015-09-01,262.8500,231.5400,176.5470,-0.0486,0.0201,0.0786,2,0.4782,0.2241,0.2977,0,2,0,2,0
OXY,2015-09-01,494.8200,63.2700,428.2305,0.0141,0.0251,-0.0449,0,0.1446,0.4429,0.4126,1,2,0,2,2
PAYX,2015-09-01,124.4600,40.7100,109.9140,-0.0887,0.0180,0.0960,2,0.2413,0.2912,0.4675,2,1,1,2,2
PBCT,2015-09-01,59.4700,13.5900,64.6875,-0.0867,0.0191,0.0552,2,0.0720,0.6709,0.2572,1,1,1,1,2
PCAR,2015-09-01,161.1100,53.0800,137.3040,-0.0933,0.0193,-0.0855,0,0.3737,0.4208,0.2054,1,1,1,1,0
PCG,2015-09-01,165.7700,44.5700,179.7300,-0.0791,0.0177,0.1124,2,0.3130,0.2989,0.3882,2,1,1,2,2
PCLN,2015-09-01,704.0200,1215.3600,962.8535,-0.0535,0.0227,0.0177,1,0.5428,0.1059,0.3513,0,2,0,0,0
PDCO,2015-09-01,88.9600,42.2900,62.9740,-0.1067,0.0218,-0.0272,0,0.0940,0.8199,0.0862,1,0,2,2,0
PEG,2015-09-01,196.8400,35.7400,160.2230,-0.0411,0.0163,0.0926,2,0.3509,0.3672,0.2819,1,2,0,0,2
PEP,2015-09-01,762.2200,85.6400,542.1005,-0.0662,0.0158,0.0404,2,0.3839,0.2221,0.3940,2,1,1,2,0
PFE,2015-09-01,1223.8900,28.8300,910.3565,-0.1248,0.0184,0.0017,1,0.0842,0.5422,0.3736,1,0,2,1,2
PFG,2015-09-01,107.3700,44.9800,91.4410,-0.1332,0.0238,-0.0127,1,0.0954,0.3480,0.5566,2,0,2,1,0
PG,2015-09-01,1058.9900,64.1000,842.6840,-0.0923,0.0152,0.0441,2,0.2793,0.2041,0.5166,2,1,1,0,2
PGR,2015-09-01,107.4000,27.9000,115.7450,-0.0426,0.0172,0.0477,2,0.1079,0.0700,0.8221,2,2,0,0,0
PH,2015-09-01,292.7000,101.1000,230.2400,-0.0146,0.0207,-0.0792,0,0.3340,0.4238,0.2422,1,2,0,1,0
PHM,2015-09-01,100.8200,19.1400,123.0460,-0.0210,0.0274,-0.0481,0,0.2932,0.3867,0.3200,1,2,0,1,0
PKG,2015-09-01,67.3400,60.7200,65.2895,-0.0754,0.0197,-0.0670,0,0.1077,0.6203,0.2720,1,1,1,0,0
PKI,2015-09-01,63.7200,45.8500,41.5585,-0.1227,0.0207,-0.0100,1,0.4577,0.0935,0.4487,0,0,2,1,0
PLD,2015-09-01,153.3900,34.1700,133.5175,-0.0869,0.0226,0.0641,2,0.1406,0.3689,0.4905,2,1,1,1,2
PNC,2015-09-01,285.2200,83.3000,242.8610,-0.1096,0.0220,0.0230,1,0.0949,0.5010,0.4041,1,0,2,1,2
PNR,2015-09-01,66.1000,50.8200,60.2690,-0.1073,0.0212,-0.0458,0,0.1120,0.2122,0.6758,2,0,2,2,2
PNW,2015-09-01,50.2200,53.7400,59.9400,-0.0460,0.0146,0.1057,2,0.1373,0.4546,0.4080,1,2,0,2,2
PPL,2015-09-01,184.1500,27.2200,144.0210,-0.0486,0.0176,0.1102,2,0.3202,0.1648,0.5149,2,2,0,0,0
PRGO,2015-09-01,141.3400,177.1100,270.3260,-0.0580,0.0216,-0.1237,0,0.6430,0.2950,0.0620,0,2,0,0,0
PRU,2015-09-01,231.0500,72.2600,253.2220,-0.1354,0.0273,-0.0118,1,0.0625,0.3454,0.5921,2,0,2,0,0
PSA,2015-09-01,208.0200,184.6100,150.5405,-0.0311,0.0178,0.0724,2,0.5156,0.1922,0.2921,0,2,0,1,2
PVH,2015-09-01,145.0700,116.4100,129.1085,0.0202,0.0229,-0.1273,0,0.1607,0.3562,0.4831,2,2,0,0,0
PWR,2015-09-01,111.4000,23.2600,104.6410,-0.1489,0.0431,0.0408,2,0.0493,0.4379,0.5128,2,0,2,0,2
PX,2015-09-01,219.6500,96.5900,203.4640,-0.0971,0.0141,0.0019,1,0.0506,0.8256,0.1238,1,1,1,1,2
PXD,2015-09-01,285.1200,115.0600,287.9785,-0.0770,0.0337,0.0561,2,0.1206,0.4256,0.4538,2,1,1,0,2
QCOM,2015-09-01,722.7700,50.6200,874.8435,-0.1254,0.0202,-0.0235,0,0.0897,0.7288,0.1815,1,0,2,2,0
RCL,2015-09-01,235.4000,82.5100,197.7895,-0.0319,0.0166,0.0364,2,0.1030,0.7855,0.1115,1,2,0,0,2
RE,2015-09-01,78.5800,164.2700,56.9990,-0.0510,0.0152,0.0021,1,0.6345,0.1160,0.2495,0,2,0,0,0
REG,2015-09-01,48.7400,55.0800,48.0785,-0.0799,0.0197,0.0645,2,0.0714,0.3210,0.6077,2,1,1,1,0
REGN,2015-09-01,446.3800,496.4200,445.4240,-0.1455,0.0271,-0.0630,0,0.3768,0.1507,0.4725,2,0,2,1,0
RF,2015-09-01,180.3700,8.7200,186.6435,-0.1120,0.0277,-0.0149,1,0.0368,0.6753,0.2879,1,0,2,2,2
RHI,2015-09-01,64.1400,47.8800,59.3870,-0.0946,0.0188,0.0251,1,0.2321,0.4049,0.3629,1,1,1,1,0
RHT,2015-09-01,143.2600,70.0400,93.0355,-0.1139,0.0247,0.0263,1,0.4849,0.2966,0.2185,0,0,2,2,0
RJF,2015-09-01,77.4800,49.5300,48.3335,-0.1423,0.0239,-0.0242,0,0.0981,0.4356,0.4664,2,0,2,1,2
RL,2015-09-01,83.8500,103.2600,152.1645,-0.1206,0.0146,0.0947,2,0.0237,0.2195,0.7569,2,0,2,0,0
RMD,2015-09-01,68.7100,48.7300,43.2725,-0.0871,0.0180,0.0041,1,0.2710,0.2646,0.4644,2,1,1,1,2
ROK,2015-09-01,153.7600,102.5700,105.9700,-0.0592,0.0206,-0.0565,0,0.1031,0.7248,0.1721,1,2,0,0,2
ROP,2015-09-01,98.6000,153.5900,71.4930,-0.0652,0.0185,0.0053,1,0.6028,0.1728,0.2244,0,1,1,2,0
ROST,2015-09-01,189.8200,46.4700,186.0755,-0.1075,0.0279,0.0235,1,0.4032,0.3907,0.2060,0,0,2,0,2
RRC,2015-09-01,204.8300,37.6700,167.1095,0.0019,0.0384,-0.1529,0,0.2431,0.2418,0.5151,2,2,0,0,0
RSG,2015-09-01,67.3700,37.7400,68.2990,-0.0628,0.0157,0.0371,2,0.6199,0.2028,0.1774,0,1,1,2,0
RTN,2015-09-01,213.1700,95.3800,174.4500,-0.0808,0.0145,0.0922,2,0.0555,0.1608,0.7837,2,1,1,2,2
SBAC,2015-09-01,114.2300,114.5400,123.7140,-0.0553,0.0189,-0.0867,0,0.7395,0.0912,0.1694,0,2,0,1,0
SBUX,2015-09-01,718.2300,51.5800,601.6750,-0.0885,0.0258,0.0622,2,0.5006,0.1266,0.3728,0,1,1,2,2
SCG,2015-09-01,53.3800,47.4800,46.9195,-0.0498,0.0172,0.1047,2,0.1037,0.5281,0.3682,1,2,0,1,2
SCHW,2015-09-01,375.4100,28.5400,307.4405,-0.1723,0.0215,-0.0182,0,0.0839,0.5064,0.4097,1,0,2,1,2
SEE,2015-09-01,117.0100,49.1600,123.5730,-0.0627,0.0147,-0.0714,0,0.1821,0.3379,0.4800,2,1,1,2,0
SHW,2015-09-01,164.3500,242.9900,220.7750,-0.1023,0.0192,-0.1036,0,0.5212,0.1816,0.2972,0,0,2,1,2
SIG,2015-09-01,191.6400,130.1700,112.1175,0.1029,0.0364,0.0155,1,0.5222,0.0537,0.4241,0,2,0,0,2
SJM,2015-09-01,110.2900,108.2400,116.5195,0.0234,0.0209,0.0006,1,0.1149,0.1267,0.7585,2,2,0,0,2
SLB,2015-09-01,1129.0200,70.9400,963.3995,-0.0773,0.0244,-0.0856,0,0.3826,0.2019,0.4155,2,1,1,1,2
SLG,2015-09-01,72.5700,95.1800,75.5400,-0.1167,0.0191,0.0733,2,0.2452,0.1529,0.6019,2,0,2,2,0
SNA,2015-09-01,80.9300,149.4400,67.7615,-0.0642,0.0185,-0.0227,0,0.1652,0.2331,0.6017,2,1,1,0,2
SNPS,2015-09-01,54.1200,45.6400,45.5500,-0.1046,0.0225,0.0118,1,0.1171,0.3422,0.5408,2,0,2,0,0
SO,2015-09-01,293.7600,38.2400,290.1850,-0.0341,0.0162,0.0541,2,0.1967,0.2362,0.5671,2,2,0,0,2
SPG,2015-09-01,318.8300,160.6900,284.3780,-0.0642,0.0173,0.0497,2,0.3345,0.1888,0.4767,2,1,1,2,2
SRCL,2015-09-01,125.8200,139.0700,85.9325,-0.0181,0.0148,0.0013,1,0.0438,0.3858,0.5704,2,2,0,1,0
SRE,2015-09-01,151.9100,86.0800,149.2745,-0.0775,0.0153,0.0568,2,0.1419,0.2837,0.5743,2,1,1,0,0
STI,2015-09-01,165.8500,36.7600,165.2630,-0.1233,0.0262,-0.0060,1,0.0772,0.5112,0.4116,1,0,2,0,2
STT,2015-09-01,257.1300,66.5300,197.1345,-0.1084,0.0222,-0.0305,0,0.0700,0.3979,0.5321,2,0,2,1,2
STZ,2015-09-01,348.0000,125.1600,197.3875,0.0560,0.0173,-0.0197,0,0.1170,0.2558,0.6272,2,2,0,2,2
SWK,2015-09-01,175.3900,94.1300,148.9175,-0.0539,0.0193,-0.0086,1,0.0939,0.5116,0.3945,1,2,0,2,0
SWKS,2015-09-01,397.0100,80.4600,443.1080,-0.0637,0.0339,0.0123,1,0.2562,0.1514,0.5924,2,1,1,2,2
SYK,2015-09-01,193.6600,92.5800,155.8000,-0.0593,0.0187,-0.0106,1,0.4260,0.4246,0.1493,0,1,1,0,0
SYMC,2015-09-01,105.5100,15.4900,127.7350,-0.1046,0.0249,-0.0232,0,0.5619,0.2937,0.1445,0,0,2,1,2
SYY,2015-09-01,364.2700,36.8200,392.6250,0.0722,0.0210,0.0049,1,0.0290,0.7466,0.2244,1,2,0,2,2
T,2015-09-01,1064.7700,28.8600,1186.3540,-0.0654,0.0151,0.0080,1,0.1215,0.2845,0.5940,2,1,1,0,0
TAP,2015-09-01,120.9100,64.0800,138.5350,-0.0473,0.0211,0.2522,2,0.1202,0.5627,0.3170,1,2,0,1,0
TGT,2015-09-01,504.0900,70.2600,496.8370,-0.0516,0.0173,0.0434,2,0.4245,0.1886,0.3869,0,2,0,2,2
TIF,2015-09-01,121.7800,75.9500,145.0305,-0.1567,0.0205,-0.0292,0,0.0866,0.1521,0.7613,2,0,2,1,0
TJX,2015-09-01,242.0500,67.4800,283.3235,0.0004,0.0229,0.0293,2,0.6420,0.1299,0.2281,0,2,0,0,2
TMK,2015-09-01,41.6600,55.5800,46.9825,-0.0909,0.0189,-0.0025,1,0.1110,0.1787,0.7103,2,1,1,2,2
TMO,2015-09-01,431.1800,120.3600,236.9295,-0.1184,0.0201,0.0081,1,0.2406,0.5537,0.2058,1,0,2,1,2
TROW,2015-09-01,169.6600,64.8700,127.8130,-0.0995,0.0180,0.0083,1,0.2611,0.3637,0.3752,2,0,2,1,0
TSCO,2015-09-01,101.1700,79.7500,91.2800,-0.1069,0.0202,0.0251,1,0.5538,0.1876,0.2586,0,0,2,2,0
TSN,2015-09-01,166.6400,40.4500,195.4005,-0.0020,0.0196,0.0410,2,0.2919,0.2123,0.4958,2,2,0,2,2
TSS,2015-09-01,58.1700,43.5600,53.2085,-0.0582,0.0227,0.0269,1,0.2554,0.2833,0.4613,2,2,0,2,2
TWX,2015-09-01,455.1300,66.5900,667.6165,-0.2040,0.0277,-0.0099,1,0.3811,0.4166,0.2023,1,0,2,2,0
TXN,2015-09-01,608.7300,43.7200,449.6755,-0.0702,0.0245,0.0688,2,0.2621,0.5233,0.2146,1,1,1,1,2
TXT,2015-09-01,106.4900,37.0100,79.7945,-0.1385,0.0250,0.0132,1,0.4795,0.2152,0.3053,0,0,2,2,0
UDR,2015-09-01,54.9900,29.3100,70.0530,-0.0754,0.0196,0.0938,2,0.2949,0.2498,0.4553,2,1,1,0,0
UHS,2015-09-01,125.9100,130.9100,99.5320,-0.0982,0.0216,-0.0529,0,0.4117,0.1273,0.4609,2,0,2,2,2
UNH,2015-09-01,524.6400,108.4900,494.6800,-0.0680,0.0223,0.0345,2,0.1541,0.2581,0.5878,2,1,1,0,0
UNM,2015-09-01,61.3700,30.8400,67.4480,-0.0919,0.0217,-0.0075,1,0.3387,0.2604,0.4010,2,1,1,0,2
UNP,2015-09-01,465.3400,79.4300,524.3685,-0.1234,0.0211,0.0603,2,0.2001,0.4046,0.3953,1,0,2,1,0
