Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,77.812500,78.843750,77.406250,78.812500,51.012718,1744600
1998-01-21,78.093750,78.375000,77.281250,77.843750,50.385704,1839600
1998-01-22,77.187500,77.859383,76.937500,77.187500,49.960907,1662600
1998-01-23,77.500000,77.750000,76.312500,77.000000,49.839581,1693700
1998-01-26,77.375000,77.671883,76.937500,77.312500,50.041821,1172800
1998-01-27,77.125000,78.562500,77.078117,78.218750,50.628387,1454500
1998-01-28,78.375000,79.234383,78.218750,79.125000,51.214985,1181200
1998-01-29,79.062500,80.250000,78.890617,79.406250,51.397026,1468500
1998-01-30,79.937500,79.937500,78.968750,79.234383,51.285782,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015617,52.438747,955600
1998-02-03,81.000000,81.671883,80.656250,81.656250,52.853382,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,52.570213,753200
1998-02-05,81.812500,81.906250,80.734383,81.234383,52.580326,1067600
1998-02-06,81.500000,82.171883,81.359383,82.109383,53.146671,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,52.934269,515900
1998-02-10,82.031250,83.343750,81.921883,83.156250,53.824268,892100
1998-02-11,82.968750,83.390617,82.843750,83.156250,53.824268,515000
1998-02-12,82.734383,84.109383,82.375000,83.687500,54.168137,1065000
1998-02-13,83.343750,83.843750,83.171883,83.640617,54.137833,596700
1998-02-17,84.312500,84.718750,83.890617,84.062500,54.410854,840600
1998-02-18,84.078117,84.703117,83.843750,84.625000,54.774948,773000
1998-02-19,84.640617,84.703117,83.828117,83.828117,54.259163,804800
1998-02-20,84.078117,84.468750,83.312500,84.281250,54.552448,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,54.532207,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,54.370396,702700
1998-02-25,84.250000,85.156250,84.078117,84.687500,54.815414,687400
1998-02-26,84.609383,85.218750,84.406250,85.156250,55.118843,439800
1998-02-27,85.109383,85.953117,84.890617,85.593750,55.402016,451300
1998-03-02,85.750000,85.859383,85.281250,85.718750,55.482906,1062800
1998-03-03,85.218750,86.125000,85.187500,86.109383,55.735771,596600
1998-03-04,85.625000,85.875000,85.109383,85.531250,55.361530,691700
1998-03-05,84.500000,85.265617,84.218750,84.781250,54.876144,778300
1998-03-06,85.093750,86.031250,85.093750,86.031250,55.685204,933100
1998-03-09,85.625000,86.578117,85.593750,85.875000,55.584038,685300
1998-03-10,86.375000,86.750000,86.156250,86.718750,56.130150,563700
1998-03-11,86.937500,87.234383,86.734383,87.000000,56.312168,406600
1998-03-12,86.937500,87.062500,86.312500,86.890617,56.241417,576700
1998-03-13,87.187500,87.250000,86.093750,86.156250,55.766102,458900
1998-03-16,86.562500,87.468750,86.343750,87.468750,56.615646,733000
1998-03-17,87.281250,87.781250,87.078117,87.765617,56.807774,499900
1998-03-18,87.593750,88.015617,87.281250,87.984383,56.949383,410900
1998-03-19,88.000000,88.296883,87.843750,88.234383,57.111233,730000
1998-03-20,88.562500,89.406250,88.281250,89.156250,57.707909,754300
1998-03-23,89.187500,89.187500,88.390617,88.484383,57.273060,551600
1998-03-24,88.968750,89.859383,88.921883,89.437500,57.889904,470300
1998-03-25,90.062500,90.062500,88.250000,88.875000,57.525833,966200
1998-03-26,88.843750,89.296883,88.515617,88.625000,57.364040,412800
1998-03-27,89.343750,89.406250,87.875000,88.265617,57.131451,584100
1998-03-30,88.281250,88.562500,87.687500,88.156250,57.060623,562400
1998-03-31,88.468750,89.312500,88.062500,88.187500,57.080837,620000
1998-04-01,88.359383,89.203117,87.718750,88.937500,57.566238,373700
1998-04-02,88.906250,90.250000,88.828117,90.156250,58.355171,440600
1998-04-03,90.250000,90.578117,89.812500,90.093750,58.314728,493300
1998-04-06,90.875000,91.250000,90.343750,90.375000,58.496731,610500
1998-04-07,90.375000,90.390617,89.250000,89.890617,58.183212,707300
1998-04-08,90.062500,90.062500,88.828117,89.281250,57.788769,949500
1998-04-09,89.656250,90.468750,89.625000,90.375000,58.496731,451700
1998-04-13,90.734383,90.734383,89.562500,90.343750,58.476555,337900
1998-04-14,90.531250,91.515617,90.531250,91.437500,59.184467,451500
1998-04-15,91.656250,92.015617,91.203117,92.015617,59.558693,261800
1998-04-16,91.703117,91.703117,90.796883,91.062500,58.941780,232800
1998-04-17,90.734383,91.750000,90.578117,91.703117,59.578819,382900
1998-04-20,91.593750,91.656250,91.000000,91.296883,59.314899,299400
1998-04-21,91.250000,91.921883,90.968750,91.906250,59.710846,372000
1998-04-22,91.859383,92.109383,91.687500,91.843750,59.670216,503400
1998-04-23,91.718750,92.031250,91.109383,91.312500,59.325096,597700
1998-04-24,91.218750,91.562500,90.062500,90.546883,58.827606,820200
1998-04-27,89.437500,89.875000,88.390617,89.250000,57.985073,1916800
1998-04-28,90.031250,90.125000,88.656250,88.984383,57.812496,437200
1998-04-29,89.281250,89.953117,88.921883,89.421883,58.096748,298700
